,Dataset,Impute method,Model-based imputation,Package,Percent data missing,Score (AUC)
169,Churn,MICE,Y,sklearn,0.86,0.9019008623193058
170,Churn,Expectation Maximization,Y,impyute,0.86,0.9026956266563959
171,Churn,Missing Forest,Y,missingpy,0.86,0.900432076688645
172,Churn,K-Nearest Neighbors,Y,sklearn,0.88,0.8972581461197753
173,Churn,MICE,Y,sklearn,0.88,0.8963475973643645
174,Churn,Expectation Maximization,Y,impyute,0.88,0.8993973069651433
175,Churn,Missing Forest,Y,missingpy,0.88,0.9014617599110016
176,Churn,K-Nearest Neighbors,Y,sklearn,0.9,0.9146446489771404
177,Churn,MICE,Y,sklearn,0.9,0.9118828687182748
178,Churn,Expectation Maximization,Y,impyute,0.9,0.9118387037887622
179,Churn,Missing Forest,Y,missingpy,0.9,0.9127889858554452
180,Churn,K-Nearest Neighbors,Y,sklearn,0.92,0.9065609398201736
181,Churn,MICE,Y,sklearn,0.92,0.9081160043027348
182,Churn,Expectation Maximization,Y,impyute,0.92,0.9108066750850607
183,Churn,Missing Forest,Y,missingpy,0.92,0.9114168625112538
184,Churn,K-Nearest Neighbors,Y,sklearn,0.94,0.9089697498391888
185,Churn,MICE,Y,sklearn,0.94,0.9152098184520401
186,Churn,Expectation Maximization,Y,impyute,0.94,0.916438299834636
187,Churn,Missing Forest,Y,missingpy,0.94,0.9120993300260528
188,Churn,K-Nearest Neighbors,Y,sklearn,0.96,0.9164348409296358
189,Churn,MICE,Y,sklearn,0.96,0.9135268130522264
190,Churn,Expectation Maximization,Y,impyute,0.96,0.9092671973872218
191,Churn,Missing Forest,Y,missingpy,0.96,0.9113193654681714
192,Churn,K-Nearest Neighbors,Y,sklearn,0.98,0.9190615729028264
193,Churn,MICE,Y,sklearn,0.98,0.9164619090087304
194,Churn,Expectation Maximization,Y,impyute,0.98,0.9139547652415534
195,Churn,Missing Forest,Y,missingpy,0.98,0.9162192332659908
196,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.02,0.9198992839719884
197,HeartDisease,MICE,Y,sklearn,0.02,0.92021893933433
198,HeartDisease,Expectation Maximization,Y,impyute,0.02,0.9203615548036824
199,HeartDisease,Missing Forest,Y,missingpy,0.02,0.9252153985364702
200,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.04,0.9392559922548092
201,HeartDisease,MICE,Y,sklearn,0.04,0.9380091338490276
202,HeartDisease,Expectation Maximization,Y,impyute,0.04,0.9381558230732372
203,HeartDisease,Missing Forest,Y,missingpy,0.04,0.9424000312937012
204,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.06,0.9210313068226738
205,HeartDisease,MICE,Y,sklearn,0.06,0.921525417029014
206,HeartDisease,Expectation Maximization,Y,impyute,0.06,0.9206014309431576
207,HeartDisease,Missing Forest,Y,missingpy,0.06,0.9177108862360659
208,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.08,0.9386574074074072
209,HeartDisease,MICE,Y,sklearn,0.08,0.93620527306968
210,HeartDisease,Expectation Maximization,Y,impyute,0.08,0.935979676710609
211,HeartDisease,Missing Forest,Y,missingpy,0.08,0.9375490426867544
212,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.1,0.9295545879123592
213,HeartDisease,MICE,Y,sklearn,0.1,0.9308036375485056
214,HeartDisease,Expectation Maximization,Y,impyute,0.1,0.9304333659172368
215,HeartDisease,Missing Forest,Y,missingpy,0.1,0.9349901754593838
216,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.12,0.9141902112916606
217,HeartDisease,MICE,Y,sklearn,0.12,0.9137607963694921
218,HeartDisease,Expectation Maximization,Y,impyute,0.12,0.9114038940125896
219,HeartDisease,Missing Forest,Y,missingpy,0.12,0.9152344703069342
220,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.14,0.9261078667124699
221,HeartDisease,MICE,Y,sklearn,0.14,0.9273052951857488
222,HeartDisease,Expectation Maximization,Y,impyute,0.14,0.9260538842812976
223,HeartDisease,Missing Forest,Y,missingpy,0.14,0.9288806006772342
224,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.16,0.93275828460039
225,HeartDisease,MICE,Y,sklearn,0.16,0.9331189083820663
226,HeartDisease,Expectation Maximization,Y,impyute,0.16,0.9327387914230021
227,HeartDisease,Missing Forest,Y,missingpy,0.16,0.9309600389863548
228,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.18,0.9305898854362836
229,HeartDisease,MICE,Y,sklearn,0.18,0.9309184714375393
230,HeartDisease,Expectation Maximization,Y,impyute,0.18,0.929893479284369
231,HeartDisease,Missing Forest,Y,missingpy,0.18,0.9285791352793472
232,HeartDisease,K-Nearest Neighbors,Y,sklearn,0.2,0.9305381604696672
233,HeartDisease,MICE,Y,sklearn,0.2,0.9306213307240704
234,HeartDisease,Expectation Maximization,Y,impyute,0.2,0.9291731898238748
235,HeartDisease,Missing Forest,Y,missingpy,0.2,0.9340655577299414
